episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
67,48.095402,444,97.976,1,1,1,1,1,1,96,72,116,24,100,36,0.92486,0.922896,0.918608,0.917354,0.922117,0.937711,"0,1,2,3,4,5"
68,49.505598,460,97.991,1,1,1,1,1,1,96,88,116,32,84,44,0.932454,0.923925,0.931924,0.91894,0.924464,0.937211,"0,1,2,3,4,5"
69,46.687975,432,107.993,1,1,1,1,1,1,92,76,116,28,84,36,0.925513,0.924112,0.916045,0.923348,0.920604,0.928772,"0,1,2,3,4,5"
70,45.916173,424,107.943,1,1,1,1,1,1,92,76,116,32,72,36,0.92641,0.925315,0.927256,0.921394,0.9221,0.938719,"0,1,2,3,4,5"
71,47.726095,440,107.999,1,1,1,1,1,1,92,84,116,28,84,36,0.92954,0.935317,0.923188,0.935741,0.923833,0.922559,"0,1,2,3,4,5"
72,45.305569,416,107.981,1,1,1,1,1,1,96,68,116,24,76,36,0.944993,0.930918,0.93593,0.918542,0.927364,0.920506,"0,1,2,3,4,5"
73,48.486326,448,107.961,1,1,1,1,1,1,88,100,112,28,84,36,0.919294,0.926539,0.929286,0.92006,0.924589,0.916463,"0,1,2,3,4,5"
74,45.783514,420,107.969,1,1,1,1,1,1,92,72,112,24,84,36,0.921377,0.919511,0.916608,0.922509,0.930754,0.915319,"0,1,2,3,4,5"
75,49.509606,460,96.97,1,1,1,1,1,1,84,96,124,32,84,40,0.920296,0.920261,0.92986,0.93939,0.930116,0.924893,"0,1,2,3,4,5"
76,47.707305,440,107.967,1,1,1,1,1,1,84,88,120,24,84,40,0.935401,0.931986,0.922273,0.923898,0.931226,0.917771,"0,1,2,3,4,5"
77,48.102155,444,108.0,1,1,1,1,1,1,88,84,112,28,96,36,0.924182,0.924515,0.925819,0.926199,0.925071,0.92734,"0,1,2,3,4,5"
78,48.647853,448,97.993,1,1,1,1,1,1,84,76,124,40,84,40,0.938722,0.930858,0.936577,0.931061,0.928787,0.929302,"0,1,2,3,4,5"
79,48.556741,448,88.0,1,1,1,1,1,1,88,96,116,28,84,36,0.934787,0.947679,0.936894,0.931848,0.929297,0.92981,"0,1,2,3,4,5"
80,46.92324,432,107.984,1,1,1,1,1,1,96,68,116,28,88,36,0.927252,0.922818,0.919011,0.941336,0.922685,0.937764,"0,1,2,3,4,5"
81,45.602769,420,107.919,1,1,1,1,1,1,92,68,116,32,80,32,0.934624,0.934503,0.939266,0.925802,0.929151,0.921516,"0,1,2,3,4,5"
82,51.556043,480,98.0,1,1,1,1,1,1,88,96,136,32,88,40,0.92955,0.928593,0.945101,0.928362,0.931427,0.934411,"0,1,2,3,4,5"
83,49.404548,456,107.943,1,1,1,1,1,1,96,72,124,24,100,40,0.937496,0.926533,0.930721,0.928924,0.929869,0.916109,"0,1,2,3,4,5"
84,46.999361,432,108.0,1,1,1,1,1,1,88,84,112,28,84,36,0.92828,0.918018,0.916492,0.926788,0.925023,0.925725,"0,1,2,3,4,5"
85,51.001636,472,107.893,1,1,1,1,1,1,104,88,140,28,80,32,0.939811,0.922177,0.922309,0.931227,0.917462,0.920812,"0,1,2,3,4,5"
86,51.752205,480,107.979,1,1,1,1,1,1,96,88,144,32,84,36,0.937724,0.927715,0.932555,0.937798,0.942542,0.925025,"0,1,2,3,4,5"
87,48.442555,448,107.964,1,1,1,1,1,1,88,84,124,28,84,40,0.933878,0.927965,0.930641,0.934669,0.923531,0.930487,"0,1,2,3,4,5"
88,46.8983,432,107.964,1,1,1,1,1,1,92,72,120,28,84,36,0.927812,0.923857,0.932065,0.922624,0.932739,0.92023,"0,1,2,3,4,5"
89,47.246152,436,107.993,1,1,1,1,1,1,84,68,128,32,80,44,0.935175,0.935115,0.92245,0.916922,0.938416,0.93795,"0,1,2,3,4,5"
90,48.107742,444,98.0,1,1,1,1,1,1,84,80,132,28,84,36,0.937926,0.930029,0.936051,0.920822,0.92437,0.924527,"0,1,2,3,4,5"
91,45.446008,416,97.975,1,1,1,1,1,1,84,68,116,28,84,36,0.929983,0.938057,0.932532,0.935712,0.926797,0.93157,"0,1,2,3,4,5"
92,46.60071,428,97.951,1,1,1,1,1,1,84,88,108,28,84,36,0.9268,0.924856,0.926294,0.931361,0.915596,0.926163,"0,1,2,3,4,5"
93,49.729894,460,107.976,1,1,1,1,1,1,96,80,124,28,84,48,0.940926,0.923234,0.934125,0.917357,0.92662,0.924129,"0,1,2,3,4,5"
94,47.309702,436,107.922,1,1,1,1,1,1,96,68,120,28,84,40,0.932627,0.930605,0.927822,0.920286,0.923703,0.937788,"0,1,2,3,4,5"
95,49.289242,456,107.998,1,1,1,1,1,1,92,96,116,24,88,40,0.922445,0.924935,0.919771,0.927487,0.93035,0.920685,"0,1,2,3,4,5"
96,46.814959,432,107.957,1,1,1,1,1,1,92,68,120,28,84,40,0.951795,0.923189,0.917588,0.926883,0.92726,0.934404,"0,1,2,3,4,5"
97,47.801616,440,107.951,1,1,1,1,1,1,96,68,120,28,92,36,0.931533,0.933963,0.921419,0.929028,0.92199,0.92377,"0,1,2,3,4,5"
98,46.752073,432,87.981,1,1,1,1,1,1,96,96,112,28,92,8,0.940112,0.922665,0.92911,0.918579,0.934311,0.934198,"0,1,2,3,4,5"
99,48.064944,444,98.0,1,1,1,1,1,1,92,88,112,24,88,40,0.917574,0.919563,0.925571,0.922988,0.922023,0.919275,"0,1,2,3,4,5"
100,48.498344,448,107.968,1,1,1,1,1,1,92,84,112,28,88,44,0.928914,0.925619,0.927784,0.920421,0.931833,0.921153,"0,1,2,3,4,5"
101,45.188705,416,107.992,1,1,1,1,1,1,88,68,112,28,84,36,0.928095,0.924566,0.922958,0.921621,0.930264,0.924852,"0,1,2,3,4,5"
102,45.337115,416,107.995,1,1,1,1,1,1,88,76,116,28,68,40,0.927771,0.94324,0.939627,0.930864,0.919646,0.926449,"0,1,2,3,4,5"
103,48.088349,444,107.922,1,1,1,1,1,1,96,96,116,28,68,40,0.925184,0.929905,0.926858,0.919697,0.926536,0.922249,"0,1,2,3,4,5"
104,45.704698,420,98.0,1,1,1,1,1,1,88,72,112,28,84,36,0.925179,0.925291,0.915882,0.918746,0.92297,0.937834,"0,1,2,3,4,5"
105,49.818387,460,107.947,1,1,1,1,1,1,88,96,124,32,84,36,0.939021,0.925705,0.923129,0.914651,0.936586,0.932497,"0,1,2,3,4,5"
106,49.602303,460,108.0,1,1,1,1,1,1,88,92,128,24,88,40,0.928496,0.926103,0.928322,0.926255,0.924641,0.927273,"0,1,2,3,4,5"
107,48.901786,452,108.972,1,1,1,1,1,1,84,88,116,28,96,40,0.927567,0.925302,0.924786,0.928247,0.928822,0.924325,"0,1,2,3,4,5"
108,43.78847,400,98.0,1,1,1,1,1,1,84,72,112,28,68,36,0.920957,0.921377,0.923949,0.924211,0.921644,0.924939,"0,1,2,3,4,5"
109,47.900751,444,107.982,1,1,1,1,1,1,92,88,116,28,84,36,0.931072,0.92157,0.920432,0.922049,0.916182,0.93069,"0,1,2,3,4,5"
110,45.887913,424,97.986,1,1,1,1,1,1,92,84,116,28,68,36,0.923331,0.919322,0.918414,0.923302,0.926779,0.924036,"0,1,2,3,4,5"
111,45.208855,416,87.975,1,1,1,1,1,1,96,68,108,24,80,40,0.92858,0.924882,0.931218,0.92706,0.916483,0.931068,"0,1,2,3,4,5"
112,48.348632,448,108.0,1,1,1,1,1,1,92,92,112,28,84,40,0.937516,0.937213,0.926208,0.936225,0.933656,0.930758,"0,1,2,3,4,5"
113,47.335755,436,108.0,1,1,1,1,1,1,84,68,120,44,84,36,0.935756,0.925845,0.938105,0.920186,0.928358,0.9308,"0,1,2,3,4,5"
114,46.996916,432,107.972,1,1,1,1,1,1,92,72,112,32,84,40,0.928958,0.938895,0.923043,0.926306,0.928435,0.917671,"0,1,2,3,4,5"
115,46.620277,428,98.0,1,1,1,1,1,1,92,68,128,28,76,36,0.925,0.927803,0.937733,0.927203,0.92671,0.928273,"0,1,2,3,4,5"
116,45.807413,420,108.0,1,1,1,1,1,1,88,68,120,28,84,32,0.927345,0.926087,0.925211,0.932571,0.92553,0.915948,"0,1,2,3,4,5"
117,45.619386,420,107.998,1,1,1,1,1,1,88,68,112,28,84,40,0.935368,0.926509,0.917559,0.921194,0.925274,0.921846,"0,1,2,3,4,5"
119,46.894016,432,98.0,1,1,1,1,1,1,92,68,116,28,88,40,0.917956,0.923494,0.92156,0.926774,0.925215,0.927584,"0,1,2,3,4,5"
