episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
123,44.012797,440,108.000,1,1,1,1,1,1,92,80,116,28,88,36
124,42.618150,428,97.967,1,1,1,1,1,1,92,68,116,28,84,40
125,44.724732,448,107.948,1,1,1,1,1,1,92,92,116,28,84,36
126,49.522523,496,107.942,1,1,1,1,1,1,92,112,140,28,84,40
127,44.315442,444,108.000,1,1,1,1,1,1,88,92,116,28,84,36
128,42.728595,428,107.972,1,1,1,1,1,1,84,68,128,28,80,40
129,45.213421,452,98.000,1,1,1,1,1,1,84,104,124,28,76,36
130,44.017224,440,108.000,1,1,1,1,1,1,88,100,116,24,80,32
131,43.216697,432,107.947,1,1,1,1,1,1,92,80,112,28,84,36
132,45.728587,460,87.925,1,1,1,1,1,1,96,72,140,28,84,40
133,1000.025788,10000,24.609,1,1,1,1,1,1,96,68,116,36,84,9600
134,47.511628,476,107.983,1,1,1,1,1,1,92,92,132,24,100,36
135,46.315382,464,107.943,1,1,1,1,1,1,96,92,128,28,84,36
136,42.323134,424,107.993,1,1,1,1,1,1,84,72,120,28,84,36
137,43.028293,432,107.935,1,1,1,1,1,1,96,80,116,32,72,36
138,43.923921,440,108.000,1,1,1,1,1,1,92,84,112,32,84,36
139,42.515140,428,97.951,1,1,1,1,1,1,92,68,116,28,80,44
140,43.513530,436,107.859,1,1,1,1,1,1,112,72,116,24,76,36
141,45.552213,460,97.907,1,1,1,1,1,1,100,92,116,28,84,40
142,42.608410,428,97.990,1,1,1,1,1,1,80,72,120,32,84,40
143,42.623606,428,107.958,1,1,1,1,1,1,88,68,112,28,96,36
144,46.718978,468,108.000,1,1,1,1,1,1,92,100,124,28,88,36
145,47.017763,472,97.935,1,1,1,1,1,1,92,108,124,28,80,40
146,41.622246,416,107.955,1,1,1,1,1,1,96,72,116,24,76,32
147,40.621575,408,108.000,1,1,1,1,1,1,92,68,116,28,68,36
148,42.322475,424,107.994,1,1,1,1,1,1,88,68,116,28,88,36
149,43.331312,436,107.970,1,1,1,1,1,1,84,68,128,28,84,44
150,42.302960,424,97.949,1,1,1,1,1,1,88,68,120,32,80,36
151,43.918290,440,87.925,1,1,1,1,1,1,96,72,112,32,84,44
152,47.020263,472,98.000,1,1,1,1,1,1,88,92,132,28,84,48
153,47.118278,472,108.000,1,1,1,1,1,1,88,108,132,28,80,36
154,45.714413,460,107.881,1,1,1,1,1,1,104,84,116,24,92,40
155,0.125985,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
156,42.615606,428,107.988,1,1,1,1,1,1,88,72,116,28,84,40
157,43.418182,436,97.946,1,1,1,1,1,1,96,68,116,32,84,40
158,41.127907,412,97.999,1,1,1,1,1,1,88,72,104,28,84,36
159,45.121326,452,107.951,1,1,1,1,1,1,92,84,124,28,84,40
160,43.725795,440,98.000,1,1,1,1,1,1,88,72,116,28,96,40
161,42.449659,428,107.949,1,1,1,1,1,1,92,72,116,28,84,36
162,43.915524,440,107.903,1,1,1,1,1,1,100,72,112,32,84,40
163,33.636602,336,62.941,1,1,1,1,0,0,92,84,120,28,12,0
164,46.909155,472,108.000,1,1,1,1,1,1,92,72,152,44,72,40
165,34.222362,344,62.947,1,1,1,1,0,0,92,96,116,24,16,0
166,47.411746,476,97.978,1,1,1,1,1,1,96,96,128,32,84,40
167,45.032815,452,107.961,1,1,1,1,1,1,88,92,120,28,84,40
168,43.107514,432,107.998,1,1,1,1,1,1,88,68,124,28,88,36
169,44.029948,440,97.999,1,1,1,1,1,1,92,88,108,28,88,36
170,44.414514,444,107.991,1,1,1,1,1,1,88,92,128,28,72,36
171,45.622542,456,97.946,1,1,1,1,1,1,92,100,116,24,88,36
172,42.611712,428,108.000,1,1,1,1,1,1,88,72,120,28,84,36
173,45.025930,452,98.000,1,1,1,1,1,1,84,96,112,32,88,40
174,41.821976,420,107.998,1,1,1,1,1,1,84,80,124,28,68,36
175,44.320383,444,107.969,1,1,1,1,1,1,100,72,120,28,88,36
176,44.521584,448,98.000,1,1,1,1,1,1,92,92,108,32,84,40
177,46.327105,464,97.970,1,1,1,1,1,1,96,92,132,24,84,36
178,42.220958,424,107.994,1,1,1,1,1,1,88,72,112,28,84,40
179,44.702037,448,107.980,1,1,1,1,1,1,92,88,116,28,84,40
180,42.827740,428,97.942,1,1,1,1,1,1,92,72,112,28,84,40
181,45.666124,460,108.989,1,1,1,1,1,1,92,80,120,28,100,40
182,45.423389,456,108.000,1,1,1,1,1,1,88,72,144,28,84,40
183,44.723945,448,107.977,1,1,1,1,1,1,92,96,116,24,84,36
184,45.914195,460,107.975,1,1,1,1,1,1,88,88,120,28,100,36
185,44.513216,448,107.930,1,1,1,1,1,1,92,84,120,24,72,56
186,44.420005,444,107.973,1,1,1,1,1,1,96,84,116,28,84,36
187,44.019302,440,97.990,1,1,1,1,1,1,84,72,136,24,92,32
188,48.427100,484,107.999,1,1,1,1,1,1,92,108,140,28,84,32
189,43.512617,436,107.943,1,1,1,1,1,1,92,84,112,28,84,36
190,44.820288,448,107.954,1,1,1,1,1,1,88,92,116,24,92,36
191,42.429035,424,97.931,1,1,1,1,1,1,92,72,108,24,92,36
192,34.116043,344,52.959,1,1,1,1,0,0,96,92,112,28,16,0
193,44.623818,448,107.981,1,1,1,1,1,1,92,92,112,32,84,36
194,45.514440,456,107.985,1,1,1,1,1,1,92,84,124,32,84,40
195,42.623711,428,108.000,1,1,1,1,1,1,84,68,120,28,88,40
196,46.014137,460,98.000,1,1,1,1,1,1,92,96,124,28,84,36
197,45.225525,452,107.966,1,1,1,1,1,1,92,96,120,28,84,32
198,45.221796,452,107.898,1,1,1,1,1,1,100,68,124,36,84,40
199,44.718728,448,108.000,1,1,1,1,1,1,88,92,112,32,84,40
200,48.711093,488,109.000,1,1,1,1,1,1,96,96,124,28,104,40
201,45.975065,464,97.963,1,1,1,1,1,1,92,100,120,24,88,40
202,42.226332,424,87.987,1,1,1,1,1,1,96,88,120,28,84,8
203,45.208262,452,97.978,1,1,1,1,1,1,92,72,140,28,84,36
204,44.636180,448,107.966,1,1,1,1,1,1,100,84,116,24,84,40
205,42.712562,428,107.963,1,1,1,1,1,1,96,68,116,28,84,36
206,45.118889,452,97.979,1,1,1,1,1,1,88,92,124,28,84,36
207,45.818187,460,108.000,1,1,1,1,1,1,92,68,120,28,112,40
208,46.329854,464,107.949,1,1,1,1,1,1,92,88,128,28,84,44
209,41.610320,416,108.000,1,1,1,1,1,1,96,68,120,28,68,36
210,42.322204,424,97.962,1,1,1,1,1,1,92,72,112,28,84,36
211,42.211096,424,97.990,1,1,1,1,1,1,88,72,108,28,88,40
212,42.827469,428,97.963,1,1,1,1,1,1,92,72,120,32,80,32
213,42.721013,428,97.948,1,1,1,1,1,1,92,68,120,28,84,36
214,42.317424,424,107.980,1,1,1,1,1,1,88,68,116,28,88,36
215,47.817372,480,107.998,1,1,1,1,1,1,96,72,120,24,128,40
216,48.816170,488,107.951,1,1,1,1,1,1,88,120,132,28,84,36
217,43.526626,436,87.905,1,1,1,1,1,1,100,68,124,28,80,36
218,33.112394,332,62.960,1,1,1,1,0,0,84,72,140,28,8,0
219,42.022176,420,108.000,1,1,1,1,1,1,84,68,120,28,88,32
220,42.021062,420,98.000,1,1,1,1,1,1,88,68,112,28,80,44
221,44.874416,452,107.965,1,1,1,1,1,1,92,84,116,28,88,44
222,44.020885,440,107.931,1,1,1,1,1,1,92,84,116,24,92,32
223,44.316757,444,97.983,1,1,1,1,1,1,92,68,128,32,88,36
224,12.324376,124,6.949,1,0,0,0,0,0,92,32,0,0,0,0
225,0.118307,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
226,41.226503,412,108.000,1,1,1,1,1,1,92,68,112,28,68,44
227,1000.023407,10000,24.506,1,1,1,1,1,1,92,68,116,32,120,9572
228,41.304518,416,107.998,1,1,1,1,1,1,88,72,116,28,72,40
229,44.327994,444,107.962,1,1,1,1,1,1,92,68,124,28,96,36
230,42.322562,424,107.973,1,1,1,1,1,1,92,68,120,24,84,36
231,41.707227,420,87.997,1,1,1,1,1,1,84,72,112,28,84,40
232,44.021082,440,107.904,1,1,1,1,1,1,104,68,124,36,72,36
233,44.528778,448,108.000,1,1,1,1,1,1,88,88,112,40,84,36
234,40.016949,400,97.999,1,1,1,1,1,1,84,68,116,28,72,32
235,44.614356,448,107.970,1,1,1,1,1,1,96,88,116,24,84,40
236,46.031466,460,108.000,1,1,1,1,1,1,88,96,136,28,76,36
237,39.015762,392,88.000,1,1,1,1,1,1,92,68,112,28,84,8
238,44.418322,444,97.996,1,1,1,1,1,1,84,84,128,28,84,36
239,42.816407,428,107.878,1,1,1,1,1,1,108,72,108,28,72,40
240,44.014101,440,107.950,1,1,1,1,1,1,88,92,112,28,84,36
241,43.998213,444,107.939,1,1,1,1,1,1,96,72,124,28,84,40
242,44.014045,440,108.000,1,1,1,1,1,1,104,68,120,28,84,36
243,42.017027,420,107.958,1,1,1,1,1,1,96,68,120,28,72,36
244,42.819568,428,108.000,1,1,1,1,1,1,96,68,112,32,84,36
245,44.427328,444,107.942,1,1,1,1,1,1,92,72,116,28,100,36
246,44.318005,444,107.966,1,1,1,1,1,1,96,84,128,28,72,36
247,0.616304,8,-5.025,0,0,0,0,0,0,8,0,0,0,0,0
248,44.628945,448,108.000,1,1,1,1,1,1,92,84,120,28,84,40
249,44.813298,448,97.973,1,1,1,1,1,1,84,84,132,28,84,36
250,41.011852,412,98.000,1,1,1,1,1,1,84,72,116,28,72,40
251,43.634698,436,107.903,1,1,1,1,1,1,100,68,124,32,80,32
252,49.214754,492,108.000,1,1,1,1,1,1,92,92,140,28,104,36
253,43.807484,440,107.961,1,1,1,1,1,1,88,80,116,32,84,40
254,45.332056,456,97.975,1,1,1,1,1,1,92,84,132,28,80,40
255,42.911217,432,107.974,1,1,1,1,1,1,88,68,116,32,88,40
256,46.126253,464,108.000,1,1,1,1,1,1,88,120,112,28,80,36
257,46.813556,468,108.000,1,1,1,1,1,1,84,116,120,28,84,36
258,1000.028976,10000,25.554,1,1,1,1,1,1,92,68,112,32,76,9620
259,43.921421,440,88.000,1,1,1,1,1,1,92,84,116,28,84,36
260,44.813547,448,108.000,1,1,1,1,1,1,88,92,120,28,84,36
261,43.383461,436,107.907,1,1,1,1,1,1,96,72,112,28,84,44
262,111.816746,1120,107.984,1,1,1,1,1,1,88,80,128,28,76,720
263,42.129498,424,107.933,1,1,1,1,1,1,92,76,112,36,72,36
264,47.808754,480,107.942,1,1,1,1,1,1,92,92,148,28,80,40
265,46.619049,468,108.000,1,1,1,1,1,1,92,84,124,28,100,40
266,41.316256,416,107.998,1,1,1,1,1,1,84,64,120,32,76,40
267,43.824947,440,98.000,1,1,1,1,1,1,88,84,112,32,84,40
268,43.430097,436,97.955,1,1,1,1,1,1,88,84,112,28,84,40
269,43.122189,432,108.000,1,1,1,1,1,1,88,68,116,24,8,36
270,46.410163,464,107.894,1,1,1,1,1,1,104,96,112,32,84,36
271,41.911320,420,107.951,1,1,1,1,1,1,88,72,112,24,84,40
272,43.625833,436,107.952,1,1,1,1,1,1,96,84,116,24,80,36
273,47.414474,476,107.945,1,1,1,1,1,1,88,88,116,28,116,40
274,32.626790,328,63.000,1,1,1,1,0,0,84,80,120,28,16,0
275,45.119537,452,108.000,1,1,1,1,1,1,92,92,116,32,84,36
