episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
22,10.723396,108,6.910,collision,1,0,0,0,0,0,104,4,0,0,0,0,0.930718,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
23,47.118002,472,53.000,collision,1,1,1,0,0,0,92,72,120,188,0,0,1.053694,0.987118,0.922441,0.979753,0.000000,0.000000,"0,1,2,3",1,0,1
24,12.912308,132,6.902,collision,1,0,0,0,0,0,128,4,0,0,0,0,1.090474,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
25,46.717804,468,97.920,,1,1,1,1,1,1,116,72,120,36,80,44,1.085919,1.066109,0.913049,1.040830,1.033791,1.007704,"0,1,2,3,4,5",2,0,0
26,45.943259,460,98.000,,1,1,1,1,1,1,92,104,108,32,80,44,0.959054,1.026115,0.931073,0.989318,0.992708,1.082820,"0,1,2,3,4,5",2,0,0
27,10.388985,104,8.000,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.068764,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
28,53.815756,540,87.900,,1,1,1,1,1,1,112,72,100,128,84,44,1.001149,0.943164,1.075510,1.067809,0.964761,1.026081,"0,1,2,3,4,5",1,0,0
29,12.534512,128,7.000,collision,1,0,0,0,0,0,120,8,0,0,0,0,1.020689,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
30,10.916250,112,8.000,collision,1,0,0,0,0,0,100,12,0,0,0,0,1.048432,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
31,10.610615,108,7.965,collision,1,0,0,0,0,0,100,8,0,0,0,0,1.051245,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
32,45.931557,460,97.934,,1,1,1,1,1,1,104,96,104,32,80,44,0.911060,0.969380,0.914468,1.078364,1.069288,1.060828,"0,1,2,3,4,5",2,0,0
33,12.430242,124,6.973,collision,1,0,0,0,0,0,120,4,0,0,0,0,0.923416,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
34,46.518900,468,97.998,,1,1,1,1,1,1,104,96,100,36,84,48,1.048941,0.934085,0.996395,1.010044,0.958716,1.068193,"0,1,2,3,4,5",2,0,0
35,47.324258,476,98.000,,1,1,1,1,1,1,92,72,108,76,80,48,0.987413,0.949124,1.008167,1.042174,0.946593,0.967167,"0,1,2,3,4,5",2,0,0
36,10.416241,104,7.989,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.090260,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
37,0.136012,4,-5.000,collision,0,0,0,0,0,0,4,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,1
38,43.708783,440,97.942,,1,1,1,1,1,1,108,72,104,36,76,44,1.004227,0.932768,0.951483,0.971927,1.016687,0.952428,"0,1,2,3,4,5",2,0,0
39,0.611174,8,-5.025,collision,0,0,0,0,0,0,8,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,1
40,10.025881,100,7.000,collision,1,0,0,0,0,0,96,4,0,0,0,0,1.065844,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
41,44.204167,444,98.000,,1,1,1,1,1,1,100,72,112,36,80,44,0.953839,1.030561,0.949529,0.934669,1.079539,1.013874,"0,1,2,3,4,5",2,0,0
42,10.101446,104,6.936,collision,1,0,0,0,0,0,100,4,0,0,0,0,0.928441,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
43,45.444330,456,97.996,,1,1,1,1,1,1,100,88,116,32,72,48,0.986515,0.995114,1.042362,1.032281,1.088295,0.928688,"0,1,2,3,4,5",2,0,0
44,44.592182,448,87.964,,1,1,1,1,1,1,104,88,100,32,80,44,0.983505,0.972184,1.066276,0.955765,0.945228,0.991541,"0,1,2,3,4,5",1,0,0
45,11.320226,116,6.916,collision,1,0,0,0,0,0,108,8,0,0,0,0,0.990825,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
46,11.817005,120,7.959,collision,1,0,0,0,0,0,104,16,0,0,0,0,1.010106,0.920075,0.000000,0.000000,0.000000,0.000000,"0,1",0,0,1
